core=samuraia label=bit53_zero duration=300.0s frames=134
grid=24 levels=6

    t(s)     diff  frame
    2.39    0.000  f000.png
    4.58    0.839  f001.png
    6.80    0.873  f002.png
    9.05    0.726  f003.png
   11.26    0.707  f004.png
   13.48    0.913  f005.png
   15.75    0.979  f006.png
   17.96    0.309  f007.png
   20.20    0.186  f008.png
   22.44    0.870  f009.png
   24.68    0.946  f010.png
   26.89    0.939  f011.png
   29.08    0.661  f012.png
   31.34    0.628  f013.png
   33.59    0.368  f014.png
   35.85    0.231  f015.png
   38.08    0.286  f016.png
   40.33    0.948  f017.png
   42.56    0.481  f018.png
   44.79    0.345  f019.png
   47.01    0.585  f020.png
   49.21    0.476  f021.png
   51.45    0.186  f022.png
   53.68    0.375  f023.png
   56.89    0.457  f024.png
   59.13    0.464  f025.png
   61.35    0.418  f026.png
   63.60    0.380  f027.png
   65.83    0.415  f028.png
   68.06    0.344  f029.png
   70.24    0.422  f030.png
   72.47    0.590  f031.png
   74.71    0.245  f032.png
   76.91    0.476  f033.png
   79.13    0.901  f034.png
   81.34    0.628  f035.png
   83.58    0.767  f036.png
   85.87    0.700  f037.png
   88.13    0.661  f038.png
   90.35    0.601  f039.png
   92.61    0.733  f040.png
   94.83    0.594  f041.png
   97.04    0.455  f042.png
   99.26    0.590  f043.png
  101.50    0.465  f044.png
  103.72    0.477  f045.png
  105.98    0.526  f046.png
  108.19    0.446  f047.png
  110.40    0.241  f048.png
  112.64    0.160  f049.png
  114.86    0.000  f050.png
  117.10    0.026  f051.png
  119.33    0.000  f052.png
  121.62    0.241  f053.png
  123.85    0.977  f054.png
  126.06    0.936  f055.png
  128.26    0.120  f056.png
  130.48    0.840  f057.png
  132.68    0.783  f058.png
  134.89    0.743  f059.png
  137.09    0.915  f060.png
  139.29    0.979  f061.png
  141.55    0.359  f062.png
  143.77    0.172  f063.png
  146.00    0.851  f064.png
  148.24    0.946  f065.png
  150.49    0.939  f066.png
  152.71    0.641  f067.png
  154.96    0.632  f068.png
  157.19    0.345  f069.png
  159.41    0.175  f070.png
  161.63    0.238  f071.png
  163.86    0.938  f072.png
  166.07    0.488  f073.png
  168.30    0.347  f074.png
  170.57    0.585  f075.png
  172.79    0.476  f076.png
  175.01    0.135  f077.png
  177.23    0.267  f078.png
  179.50    0.354  f079.png
  181.79    0.491  f080.png
  184.01    0.502  f081.png
  186.24    0.358  f082.png
  188.50    0.387  f083.png
  190.72    0.349  f084.png
  192.96    0.179  f085.png
  195.18    0.481  f086.png
  197.40    0.528  f087.png
  199.61    0.497  f088.png
  201.84    0.536  f089.png
  204.08    0.878  f090.png
  206.31    0.766  f091.png
  208.59    0.745  f092.png
  210.84    0.764  f093.png
  213.08    0.526  f094.png
  215.33    0.658  f095.png
  217.57    0.667  f096.png
  219.82    0.517  f097.png
  222.07    0.469  f098.png
  224.30    0.651  f099.png
  226.54    0.474  f100.png
  228.76    0.587  f101.png
  230.97    0.307  f102.png
  233.52    0.472  f103.png
  235.75    0.215  f104.png
  237.95    0.000  f105.png
  240.19    0.000  f106.png
  242.39    0.000  f107.png
  244.63    0.215  f108.png
  246.83    0.976  f109.png
  249.07    0.936  f110.png
  251.31    0.924  f111.png
  253.49    0.837  f112.png
  255.71    0.823  f113.png
  257.93    0.372  f114.png
  260.14    0.991  f115.png
  262.38    0.122  f116.png
  264.62    0.981  f117.png
  266.83    0.337  f118.png
  269.08    0.200  f119.png
  271.29    0.998  f120.png
  273.51    0.962  f121.png
  275.76    0.533  f122.png
  278.00    0.531  f123.png
  280.28    0.455  f124.png
  282.53    0.316  f125.png
  284.77    0.333  f126.png
  286.97    0.604  f127.png
  289.23    0.477  f128.png
  291.46    0.502  f129.png
  293.67    0.576  f130.png
  295.90    0.441  f131.png
  298.12    0.455  f132.png
  300.35    0.378  f133.png

self-similarity vs lag (higher = better re-alignment):
  lag   15.0s  sim 0.295  n=126 ##############
  lag   16.0s  sim 0.298  n=126 ##############
  lag   17.0s  sim 0.289  n=125 ##############
  lag   18.0s  sim 0.289  n=125 ##############
  lag   19.0s  sim 0.304  n=125 ###############
  lag   20.0s  sim 0.289  n=125 ##############
  lag   21.0s  sim 0.289  n=124 ##############
  lag   22.0s  sim 0.270  n=123 #############
  lag   23.0s  sim 0.271  n=123 #############
  lag   24.0s  sim 0.264  n=122 #############
  lag   25.0s  sim 0.268  n=122 #############
  lag   26.0s  sim 0.301  n=120 ###############
  lag   27.0s  sim 0.300  n=121 ###############
  lag   28.0s  sim 0.290  n=120 ##############
  lag   29.0s  sim 0.271  n=121 #############
  lag   30.0s  sim 0.273  n=120 #############
  lag   31.0s  sim 0.271  n=119 #############
  lag   32.0s  sim 0.276  n=119 #############
  lag   33.0s  sim 0.260  n=118 ############
  lag   34.0s  sim 0.257  n=118 ############
  lag   35.0s  sim 0.270  n=117 #############
  lag   36.0s  sim 0.269  n=117 #############
  lag   37.0s  sim 0.267  n=115 #############
  lag   38.0s  sim 0.262  n=116 #############
  lag   39.0s  sim 0.248  n=116 ############
  lag   40.0s  sim 0.251  n=116 ############
  lag   41.0s  sim 0.253  n=115 ############
  lag   42.0s  sim 0.274  n=114 #############
  lag   43.0s  sim 0.280  n=114 ##############
  lag   44.0s  sim 0.301  n=113 ###############
  lag   45.0s  sim 0.296  n=113 ##############
  lag   46.0s  sim 0.295  n=111 ##############
  lag   47.0s  sim 0.298  n=112 ##############
  lag   48.0s  sim 0.302  n=112 ###############
  lag   49.0s  sim 0.308  n=112 ###############
  lag   50.0s  sim 0.306  n=111 ###############
  lag   51.0s  sim 0.321  n=110 ################
  lag   52.0s  sim 0.331  n=110 ################
  lag   53.0s  sim 0.333  n=109 ################
  lag   54.0s  sim 0.329  n=109 ################
  lag   55.0s  sim 0.332  n=108 ################
  lag   56.0s  sim 0.340  n=108 #################
  lag   57.0s  sim 0.344  n=108 #################
  lag   58.0s  sim 0.354  n=107 #################
  lag   59.0s  sim 0.357  n=107 #################
  lag   60.0s  sim 0.379  n=107 ##################
  lag   61.0s  sim 0.370  n=106 ##################
  lag   62.0s  sim 0.363  n=106 ##################
  lag   63.0s  sim 0.365  n=105 ##################
  lag   64.0s  sim 0.372  n=104 ##################
  lag   65.0s  sim 0.358  n=104 #################
  lag   66.0s  sim 0.338  n=104 ################
  lag   67.0s  sim 0.332  n=103 ################
  lag   68.0s  sim 0.329  n=103 ################
  lag   69.0s  sim 0.318  n=103 ###############
  lag   70.0s  sim 0.310  n=102 ###############
  lag   71.0s  sim 0.312  n=102 ###############
  lag   72.0s  sim 0.311  n=101 ###############
  lag   73.0s  sim 0.292  n=101 ##############
  lag   74.0s  sim 0.290  n=100 ##############
  lag   75.0s  sim 0.285  n=99  ##############
  lag   76.0s  sim 0.282  n=100 ##############
  lag   77.0s  sim 0.276  n=99  #############
  lag   78.0s  sim 0.274  n=99  #############
  lag   79.0s  sim 0.271  n=98  #############
