layer 0 : 4096 words, 616 non-zero (15.0%), 417 distinct
most common cells:
   0000  x3480   tile=0000 color=0
   12D4  x103    tile=12D4 color=0
   3011  x80     tile=1011 color=1
   13ED  x4      tile=13ED color=0
   3106  x2      tile=1106 color=1
   302A  x2      tile=102A color=1
   3001  x2      tile=1001 color=1
   303E  x2      tile=103E color=1

  addr  | cells (tile:color)
  0000  | 318C 317B 3168 3155 3141 312D 3119 3106 30F1 30D7 30BD 30A4 308D 3076 3061 304D
  0010  | 303B 302A 301A 300C 3001 3011 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
  0020  | 318D 317C 3169 3156 3142 312E 311A 3106 30F2 30D8 30BE 30A5 308E 3077 3062 304E
  0030  | 303C 302A 301B 300D 3001 2FF4 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
  0040  | 318E 317D 316A 3157 3143 312F 311B 3107 30F3 30D9 30BF 30A6 308F 3079 3063 304F
  0050  | 303D 302B 301C 300E 3002 2FF5 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
  0060  | 318F 317E 316B 3158 3144 3130 311C 3108 30F4 30DA 30C0 30A7 3090 307A 3064 3050
  0070  | 303E 302C 301D 300F 3003 2FF6 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
  0080  | 3190 317F 316C 3159 3145 3131 311D 3109 30F5 30DB 30C1 30A9 3091 307B 3065 3051
  0090  | 303E 302D 301E 3010 3003 2FF7 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
  00A0  | 3191 3180 316D 315A 3146 3132 311E 310A 30F6 30DC 30C2 30AA 3092 307C 3066 3052
  00B0  | 303F 302E 301F 3010 3004 4EF8 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
  00C0  | 3192 3181 316E 315B 3147 3133 311F 310A 30F7 30DD 30C3 30AB 3093 307D 3067 3053
  00D0  | 3040 302F 301F 3011 4F05 12FA 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
  00E0  | 3193 3182 316F 315C 3148 3134 311F 310B 30F8 30DE 30C4 30AC 3095 307E 3068 3054
  00F0  | 3041 3030 3020 4F12 1306 12FB 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
  0100  | 3195 3183 3170 315D 3149 3135 3120 310C 30FA 30DF 30C5 30AD 3096 307F 3069 3055
  0110  | 3042 3031 4F21 1313 1306 12FC 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
  0120  | 3196 3184 3171 315E 314A 3136 3121 310D 30FB 30E0 30C6 30AE 3097 3080 306A 3056
  0130  | 3043 4F32 1322 1314 1307 12FD 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
  0140  | 3197 3185 3172 315F 314B 3137 3122 310E 30FC 30E1 30C7 30AF 3098 3081 306B 3057
